,topDistance,bottomDistance,birdPosition,jump
0,88.57906073107797,142.46490795982007,201.5,0
1,86.54045296853951,134.6820329516896,207.5,0
2,89.40357934669059,120.80149005703531,221.0,0
3,96.17692030835673,105.11898020814318,237.0,0
4,105.20931517693668,89.8276126811795,253.0,0
5,95.40047169694708,93.01209598756498,244.5,1
6,82.8507694593116,100.07122463525667,232.5,0
7,70.09279563550022,108.6876257906115,220.0,0
8,59.39696961966999,115.8792474949678,210.0,0
9,52.6806416058119,118.4282483193938,205.5,0
10,54.00231476520243,111.20364202668904,211.5,0
11,65.33949800847876,94.44178100819573,227.5,0
12,55.54277630799526,101.41498903022176,219.0,1
13,42.5440947723653,112.29425630903836,207.0,0
14,29.090376415577712,124.08162635942519,194.5,0
15,17.92344832893492,133.68339463074688,184.5,0
16,12.165525060596439,138.01449199268893,180.0,0
17,18.24828759089466,132.03408650799233,186.0,0
18,34.92849839314596,116.27553482998907,202.0,0
19,51.66236541235796,100.84145972763385,218.0,0
20,68.41052550594829,85.90692637965812,234.0,0
21,61.9293952820468,95.31657778162202,225.5,1
22,53.42518132865812,108.18618211213482,213.5,0
23,46.66904755831214,121.56479753612885,201.0,0
24,44.41846462902562,132.5631924781536,191.0,0
25,46.810789354592174,138.35190638368522,186.5,0
26,53.89109388386916,134.3661043567164,192.5,0
27,66.7026985960838,121.65216808589973,208.5,0
28,80.97067370350824,110.02840542332693,224.5,0
29,96.04816500069118,99.87617333478491,240.5,0
30,93.38094023943002,109.63576058932597,232.0,1
31,89.62700485902673,122.20065466273084,220.0,0
32,397.4496823498542,496.000252016065,207.5,0
33,398.9251182866278,500.19121343742137,197.5,0
34,397.45817390009734,500.37286097469354,193.0,0
35,389.89485762189787,492.5626863659082,199.0,0
36,376.64970463283254,477.1425363557519,215.0,0
37,363.69492710237245,461.8159806676248,231.0,0
38,364.1651411104583,464.93682366532335,222.5,1
39,366.9458406904212,470.9556773200637,210.5,0
40,370.4699717925867,477.6484062571548,198.0,0
41,372.8444715964017,482.61060908355506,188.0,0
42,371.9277483598125,483.30140699153776,183.5,0
43,364.22692102589014,475.51156663113886,189.5,0
44,350.1488968995904,459.6240311384948,205.5,0
45,336.317186596225,443.80091257229293,221.5,0
46,337.6581111124091,447.67510540569486,213.0,1
47,341.57576026410305,454.61412208597307,201.0,0
48,346.2805943162279,462.2339775481677,188.5,0
49,349.6644820395689,467.99065161603386,178.5,0
50,349.38231208806206,469.22063040748753,174.0,0
